Lat,Lon,OBJECTID,name,id,agency
33.92124739,-84.34432581,10874,Dunwoody MARTA,6970,GRTA Xpress
33.64102291,-83.9877559,10880,East Conyers P&R (Springfield Church),6972,GRTA Xpress
33.7538219,-84.38539902,10897,Courtland @ Gilmer St,7007,GRTA Xpress
33.52438405,-84.36206165,10906,Jonesboro P&R,6969,GRTA Xpress
33.7720894,-84.38709227,10930,W Peachtree St @ Ponce de Leon Ave,6894,GRTA Xpress
33.76619074,-84.38726305,10935,W Peachtree St @ Civic Center MARTA Station (northbound),6904,GRTA Xpress
33.94445425,-84.35701333,10942,North Springs MARTA Station,6914,GRTA Xpress
34.06106996,-84.16561378,10946,11445 Johns Creek Pkwy (S),6922,GRTA Xpress
33.96419708,-84.2247725,10948,HCA @ 5707 Peachtree Parkway (S),6936,GRTA Xpress
33.41687244,-84.18122649,10961,McDonough P&R,6949,GRTA Xpress
33.78921607,-84.38760387,10968,W Peachtree St @ Arts Center MARTA Station,6899,GRTA Xpress
33.76766409,-84.387576,10977,Spring St @ Pine St,6877,GRTA Xpress
33.77256848,-84.38706558,10983,Ponce de Leon Ave @ W Peachtree St,6895,GRTA Xpress
34.04024934,-84.18452024,10989,GA 141 @ Parsons Rd (S),10973356,GRTA Xpress
33.7710377,-84.38718384,10993,W Peachtree St @ North Ave,6879,GRTA Xpress
33.72996866,-84.74577506,11000,Arbor Place Mall,6955,GRTA Xpress
33.79035621,-84.38957795,11002,Spring St @ 17th St,6898,GRTA Xpress
33.75232771,-84.39338923,11013,Forsyth St @ MLK Jr Dr,6905,GRTA Xpress
33.75039801,-84.38853574,11029,Washington St @ MLK Jr Dr,7008,GRTA Xpress
33.76075624,-84.38779888,11031,John Portman Blvd @ Peachtree St,6889,GRTA Xpress
33.74328434,-84.72622553,11052,Douglas Multi Modal Center P&R,6956,GRTA Xpress
33.38150113,-84.29974794,11053,Hampton P&R (Boothe's Crossing),6951,GRTA Xpress
33.72326885,-84.77352262,11056,West Douglas P&R,6990,GRTA Xpress
33.79203,-84.38893346,11068,17th St just before Spring St,7010,GRTA Xpress
34.06826341,-84.16182882,11075,JC Pkwy @ Johns Creek Ct (N),6917,GRTA Xpress
34.0674318,-84.17490721,11095,W Johns Crossing @ Emory Hospital,6916,GRTA Xpress
33.75988074,-84.39231676,11109,Centennial Olympic Park Dr @ Andrew Young International Blvd,6875,GRTA Xpress
33.9753055,-84.22392736,11117,Triangle Pkwy at Metric Dr (N),6933,GRTA Xpress
33.58669364,-84.51245785,11128,Union City P&R,6953,GRTA Xpress
33.76251205,-84.39021623,11142,Baker St @ Williams St,6878,GRTA Xpress
33.56784207,-84.40347433,11148,Riverdale P&R,6952,GRTA Xpress
33.68513035,-84.0588963,11157,"West Conyers P&R (Sigman Rd, Downtown)",6947,GRTA Xpress
34.01729205,-84.19044813,11158,GA 141 @ Medlock Crossing ShpCtr (S),6929,GRTA Xpress
33.9108668,-84.35148239,11160,Medical Center MARTA Station,6971,GRTA Xpress
33.75896761,-84.38944351,11162,Spring St @ Carnegie Way,6910,GRTA Xpress
33.54816979,-84.27899036,11176,Stockbridge P&R,6950,GRTA Xpress
33.77090664,-84.3891384,11181,Spring St just before Linden Ave,6903,GRTA Xpress
33.79143977,-84.39478118,11188,17th St @ Market St,6907,GRTA Xpress
34.07175408,-84.16510705,11189,JC Pkwy @ Commerce Way (N),6974,GRTA Xpress
33.92629653,-84.33871455,11191,111 Perimeter Center West (S),6995,GRTA Xpress
33.76249416,-84.38670032,11197,Baker St @ Peachtree St,6886,GRTA Xpress
33.6669679,-83.97704971,11246,East Conyers Drivers Services,6986,GRTA Xpress
33.75620462,-84.39209015,11259,Marietta St at Cone St,6876,GRTA Xpress
33.75693325,-84.38586502,11266,Peachtree Center Ave @ John Wesley Dobbs Ave,7002,GRTA Xpress
33.75236274,-84.38826595,11269,Central Ave @ Wall St,7000,GRTA Xpress
33.77607844,-84.38706908,11280,W Peachtree St @ 5th St,6896,GRTA Xpress
33.97023264,-84.22310577,11295,5515 Spalding Dr (N),6935,GRTA Xpress
33.91676568,-84.35153928,11296,PtreeDunwoody-Concourse (W),6998,GRTA Xpress
34.07147226,-84.16520549,11311,JC Pkwy @ Commerce Way (S),6915,GRTA Xpress
33.68513277,-84.05668427,11320,"West Conyers P&R (Sigman Rd, Midtown)",6946,GRTA Xpress
33.75807251,-84.39069336,11323,Spring St @ Luckie St,6911,GRTA Xpress
33.82246126,-84.10986872,11327,Stone Mountain P&R,6987,GRTA Xpress
33.95176286,-84.23422795,11328,Publix,6939,GRTA Xpress
33.74960247,-84.39115994,11330,Mitchell St @ Central Ave,6891,GRTA Xpress
33.96998863,-84.22319173,11334,5510 Spalding Dr (S),6934,GRTA Xpress
33.75948431,-84.38581043,11341,Peachtree Center Ave @ Andrew Young International Blvd,7003,GRTA Xpress
34.04017822,-84.18429494,11352,GA 141 @ Parsons Rd (N),10973355,GRTA Xpress
33.95130773,-84.23483018,11353,6155 Peachtree Parkway (S),6938,GRTA Xpress
33.77693941,-84.38917575,11357,Spring St @ 5th St,6901,GRTA Xpress
33.75199964,-84.39156319,11389,MLK Jr Dr just before Peachtree St,6882,GRTA Xpress
33.74934837,-84.3906096,11393,Central Ave @ Mitchell St,6881,GRTA Xpress
33.90246152,-84.28058599,11414,Doraville MARTA Station,6942,GRTA Xpress
33.9637523,-84.22453106,11431,5664 Peachtree Parkway (N),6937,GRTA Xpress
33.76383093,-84.38877231,11444,Spring St @ W Peachtree Pl,6909,GRTA Xpress
33.76499272,-84.38674075,11445,Ivan Allen @ Alexander St,6902,GRTA Xpress
33.76362583,-84.38567119,11452,Peachtree Center Ave between Baker & Peachtree,6880,GRTA Xpress
34.02925947,-84.1871168,11455,GA 141 @ Medlock Br Pkwy (S),6926,GRTA Xpress
34.02943781,-84.18669441,11476,GA 141 @ Medlock Br Pkwy (N),6927,GRTA Xpress
34.01714488,-84.19002704,11501,GA 141@ State Br Corners ShpCtr (N),6928,GRTA Xpress
33.92612956,-84.3440372,11503,201 Perimeter Center Pkwy-Firestone (E),6997,GRTA Xpress
34.07516361,-83.9216423,11505,Hamilton Mill P&R,6991,GRTA Xpress
33.77102844,-84.38769371,11508,North Ave @ W Peachtree St,6920,GRTA Xpress
34.0559828,-84.16984207,11512,Across from 11315 Johns Creek Pkwy (N),6923,GRTA Xpress
33.75624946,-84.38454701,11514,Courtland @ Auburn Ave,7006,GRTA Xpress
33.75286423,-84.39306185,11520,MLK Jr Dr just before Forsyth St,6884,GRTA Xpress
33.75537722,-84.38583052,11526,Peachtree Center Ave @ Auburn Ave,7001,GRTA Xpress
33.54707287,-84.28548932,11531,BrandsMart P&R,6975,GRTA Xpress
34.04672085,-84.17816364,11549,GA 141 @ Abbotts Br ShpCtr (N),6925,GRTA Xpress
33.92155975,-84.33859899,11555,4355 Ash Dun-N Ravina Dr (E),6993,GRTA Xpress
33.92642119,-84.34448405,11560,201 Perimeter Center Pkwy-Firestone (W),6996,GRTA Xpress
33.76279776,-84.38737653,11580,Peachtree St @ Baker St,6888,GRTA Xpress
33.75861931,-84.38449497,11581,Courtland @ Ellis St,7005,GRTA Xpress
33.97535556,-84.22428914,11589,Triangle Pkwy at Metric Dr (S),6932,GRTA Xpress
33.76073903,-84.38542671,11598,John Portman Blvd just past Peachtree Center Ave,7004,GRTA Xpress
34.23014318,-84.5006213,11601,Canton P&R (Boling Park),6962,GRTA Xpress
33.40368937,-84.72311854,11602,Newnan P&R,6954,GRTA Xpress
33.7869288,-84.38753118,11610,W Peachtree St after 14 St,6900,GRTA Xpress
33.92257635,-84.33893018,11611,4355 Ash Dun-N Ravina Dr (W),6994,GRTA Xpress
33.76125825,-84.39232037,11613,Centennial Olympic Park Dr @ John Portman Blvd,6874,GRTA Xpress
33.76075443,-84.38880675,11620,Spring St @ John Portman Blvd,6908,GRTA Xpress
34.04820268,-84.17748106,11625,10900 Medlock Bridge Rd (S),6924,GRTA Xpress
33.91600645,-84.35092774,11636,PtreeDunwoody-Concourse (E),6999,GRTA Xpress
33.75206009,-84.39421535,11641,Forsyth St @ MLK Jr,6890,GRTA Xpress
33.57806044,-84.38894319,11643,Southern Regional Hospital (S),6977,GRTA Xpress
33.75692175,-84.39224793,11646,Marietta St @ Spring St,7009,GRTA Xpress
34.06346946,-84.16498502,11665,JC Pkwy @ E Johns Crossing (S),6919,GRTA Xpress
33.78054158,-84.38711392,11675,W Peachtree St @ Peachtree Pl,6897,GRTA Xpress
33.99876553,-83.90708327,11684,Dacula P&R (Hebron Baptist Church),7160,GRTA Xpress
33.68508571,-84.05697584,11689,"West Conyers P&R (Sigman Rd, Perimeter)",2221057,GRTA Xpress
33.92680164,-84.33852432,11698,111 Perimeter Center West (N),6992,GRTA Xpress
33.75009272,-84.38807688,11714,MLK Jr Dr @ Washington St,6883,GRTA Xpress
33.75439575,-84.39254671,11734,Forsyth St across from Five Points MARTA Station (southbound),6912,GRTA Xpress
33.76253645,-84.39082714,11739,Williams St @ Baker St,6873,GRTA Xpress
33.98091762,-84.2152161,11742,GA 141,6931,GRTA Xpress
34.06749458,-83.98281075,11747,Mall of Georgia P&R,6988,GRTA Xpress
33.98107642,-84.21566599,11758,Forum @ 5555 Ptree Pkwy (S),6930,GRTA Xpress
33.76621538,-84.38775181,11760,W Peachtree St @ Civic Center MARTA Station (southbound),6887,GRTA Xpress
33.773666,-84.368042,12767,PONCE DE LEON AVE NE @ PONCE DE LEON CT,904415,Metropolitan Atlanta Rapid Transit Authority
33.781116,-84.372929,12768,CHARLES ALLEN DR NE@10TH ST NE,904757,Metropolitan Atlanta Rapid Transit Authority
33.777478,-84.161942,12769,S STONE MOUNTAIN LITHONIA RD@MANASS,211526,Metropolitan Atlanta Rapid Transit Authority
33.740093,-84.305435,12770,GLENWOOD AVE SE@CARTER AVE SE,106188,Metropolitan Atlanta Rapid Transit Authority
33.735062,-84.214165,12771,COVINGTON HWY@WESLEY CHAPEL RD,108100,Metropolitan Atlanta Rapid Transit Authority
33.674212,-84.255967,12772,RIVER RD@RIVERSIDE CSWY,154005,Metropolitan Atlanta Rapid Transit Authority
33.762891,-84.199917,12773,REDAN RD@SHEPPARD PL,903424,Metropolitan Atlanta Rapid Transit Authority
33.824997,-84.285934,12774,LAVISTA RD @ LAVISTA DR,902094,Metropolitan Atlanta Rapid Transit Authority
33.859928,-84.33922,12775,BROOKHAVEN STATION,905936,Metropolitan Atlanta Rapid Transit Authority
33.708346,-84.422566,12776,LANGSTON AVE@HARTE DR,136142,Metropolitan Atlanta Rapid Transit Authority
33.822829,-84.318358,12777,N DRUID HILLS RD NE @ HIGH HAVEN CT,902325,Metropolitan Atlanta Rapid Transit Authority
33.673876,-84.264156,12778,RIVER RD@CONLEY DOWNS LN,153044,Metropolitan Atlanta Rapid Transit Authority
33.757248,-84.388062,12779,PEACHTREE ST NE @ JOHN W DOBBS AVE NE,901416,Metropolitan Atlanta Rapid Transit Authority
33.77533,-84.280715,12780,AVONDALE STATION,908438,Metropolitan Atlanta Rapid Transit Authority
33.702145,-84.447334,12781,STANTON RD@FORT VALLEY DR,122102,Metropolitan Atlanta Rapid Transit Authority
33.705147,-84.418159,12782,SYLVAN RD SW@SYLVAN PL SW,136036,Metropolitan Atlanta Rapid Transit Authority
33.929842,-84.264828,12783,WINTERS CHAPEL RD @ AMWILER RD NW,905970,Metropolitan Atlanta Rapid Transit Authority
