X,Y,j1,r1,e1,s1,m1
33.794,-84.2192,0.330493999,0.674756794,0.755164339,0.674936739,0.700558282
33.71,-84.3852,0.364663315,0.660106532,0.835529289,0.640439287,0.699366604
33.808,-84.3686,0.590662852,0.773091448,0.83820435,0.635574943,0.699366604
33.738,-84.3686,0.489598805,0.823728016,0.709183256,0.682132436,0.69900358
33.864,-84.352,0.113160901,0.511722789,0.782840589,0.543276311,0.698282582
33.794,-84.3354,0.067644946,0.457081458,0.766358555,0.573369748,0.696948513
33.724,-84.2026,0.563774223,0.780618204,0.807166318,0.582341632,0.696246294
33.724,-84.4018,0.284990673,0.764305028,0.770119155,0.691075652,0.696158964
33.724,-84.1528,0.105708142,0.540299045,0.675150128,0.586710825,0.695984597
33.78,-84.2026,0.250507842,0.601246233,0.735790036,0.684615142,0.695637039
33.92,-84.3686,0.403762923,0.667836111,0.751240765,0.62501101,0.695377391
33.934,-84.269,0.2505115,0.657809599,0.850283639,0.556246663,0.695291036
34.032,-84.269,0.113160901,0.511722789,0.782640256,0.578651692,0.694518151
33.71,-84.4184,0.249442361,0.750412266,0.934995043,0.613068903,0.694432751
33.822,-84.2524,0.222876461,0.759906165,0.895071628,0.573509428,0.693922325
33.724,-84.5014,0.210980638,0.709932687,0.680187649,0.563168183,0.692995232
33.934,-84.3852,0.303992818,0.668896306,0.624172482,0.565506363,0.692660855
33.724,-84.186,0.275992259,0.671163443,0.774437499,0.62644058,0.691748742
33.738,-84.186,0.228918341,0.674993917,0.815601733,0.621657121,0.691092119
33.668,-84.435,0.378845631,0.852766221,0.872322173,0.602038917,0.689075655
33.794,-84.4018,0.453105405,0.832597162,0.768712269,0.574495865,0.68899609
34.06,-84.3022,0.163791608,0.725148427,0.658816087,0.567977624,0.68899609
33.724,-84.103,0.415582481,0.673723237,0.649762122,0.610566701,0.688126287
33.864,-84.3354,0.211828927,0.872625852,0.915432451,0.562891801,0.687890776
33.738,-84.1694,0.350762177,0.730887823,0.630266341,0.708971808,0.687499861
33.654,-84.3852,0.296049955,0.78437732,0.696483462,0.57217184,0.687499861
33.654,-84.435,0.142544578,0.551953971,0.931189556,0.558006178,0.687421918
33.71,-84.1196,0.305940429,0.722001735,0.77244084,0.709286697,0.687110937
33.78,-84.4018,0.222878177,0.671404606,0.832263736,0.559294274,0.685498765
33.794,-84.2026,0.192616122,0.652618613,0.798885776,0.5652195,0.684893466
33.78,-84.3188,0.226498669,0.610758645,0.733391076,0.723786314,0.68421821
33.822,-84.4018,0.149819898,0.502771908,0.814080644,0.614355361,0.68399445
34.06,-84.3354,0.113160901,0.511722789,0.783254147,0.75308058,0.683548899
33.85,-84.3188,0.206894398,0.586735235,0.847912958,0.601607398,0.683105946
33.864,-84.3188,0.465724625,0.818496391,0.80826604,0.586084572,0.683105946
33.71,-84.0864,0.407854811,0.818851469,0.651545196,0.544315873,0.683032371
33.752,-84.3354,0.286808064,0.712705944,0.964256505,0.619570581,0.682812073
33.892,-84.2524,0.610191527,0.807768622,0.807899658,0.567424721,0.682009746
33.85,-84.3354,0.226249091,0.658234932,0.671897821,0.582717111,0.681575666
33.682,-84.435,0.181947088,0.682695272,0.804740031,0.651732627,0.681503561
33.794,-84.2524,0.291926151,0.770390864,0.485260909,0.633833732,0.681359556
33.71,-84.1694,0.279933809,0.634352722,0.629866443,0.708034626,0.680643612
33.78,-84.186,0.293897642,0.74446735,0.974138745,0.622237297,0.680643612
33.822,-84.2192,0.341995392,0.649532756,0.79794434,0.616287119,0.68057239
33.696,-84.4516,0.335552333,0.810707774,0.828965186,0.594863564,0.68057239
33.752,-84.2524,0.285799857,0.806472616,0.817680075,0.627689739,0.680430144
33.668,-84.4018,0.420950828,0.816536581,0.911523249,0.603793358,0.679934383
33.668,-84.4184,0.321202374,0.82950152,0.793284713,0.597912187,0.679512019
33.878,-84.3354,0.245809524,0.578611552,0.752261071,0.613751992,0.679022229
33.766,-84.269,0.362038892,0.682771281,0.740913459,0.636999504,0.678466335
33.738,-84.3852,0.327943187,0.659257622,0.650474995,0.593835261,0.678466335
33.906,-84.269,0.351459429,0.740064534,0.730003564,0.600399683,0.678052088
33.71,-84.2026,0.193102609,0.589723183,0.729875807,0.550214882,0.677777183
34.06,-84.3188,0.374850954,0.663548516,0.809728954,0.573045009,0.677434957
33.766,-84.1694,0.274638867,0.723804831,0.645089682,0.599351909,0.677230366
33.738,-84.4018,0.155839014,0.583208634,0.7523045,0.692843493,0.67709428
33.906,-84.3686,0.250507842,0.601246233,0.735429237,0.62853512,0.676755139
33.766,-84.2358,0.222878177,0.671404606,0.842935227,0.573977258,0.676484923
33.766,-84.3188,0.236758655,0.617896398,0.723515287,0.626854482,0.676282897
33.906,-84.3022,0.335196516,0.604135852,0.802994311,0.64326372,0.675546747
33.696,-84.2524,0.300918055,0.703730635,0.688586122,0.782544166,0.675480181
33.78,-84.2524,0.450699227,0.825767036,0.738515581,0.606129591,0.675480181
33.668,-84.3852,0.438468515,0.755430686,0.774654433,0.613239033,0.675347226
34.046,-84.1362,0.149819898,0.502771908,0.780109152,0.606514118,0.674554404
33.78,-84.2192,0.539602741,0.835490878,0.760558599,0.559742129,0.674291982
33.584,-84.4848,0.233051892,0.648104786,0.758799408,0.594090839,0.674095767
33.85,-84.3852,0.20090629,0.55510643,0.728110164,0.589935504,0.673834945
33.696,-84.1528,0.18275032,0.604799303,0.821509408,0.599699339,0.673575027
34.046,-84.2358,0.250507842,0.601246233,0.735512502,0.601321259,0.67280065
33.766,-84.2524,0.489598805,0.823728016,0.70584699,0.589875432,0.672736479
33.794,-84.186,0.192616122,0.652618613,0.803746427,0.570861814,0.672544296
33.724,-84.2524,0.237206712,0.734661375,0.62067942,0.694131568,0.671843824
33.612,-84.4682,0.289375729,0.63934769,0.653767649,0.593517174,0.671590727
34.06,-84.4018,0.067644946,0.457081458,0.73315924,0.592135548,0.671087096
33.738,-84.2358,0.334417396,0.794662523,0.824426936,0.678660551,0.670337971
33.738,-84.269,0.351459429,0.740064534,0.72976582,0.596039853,0.669596305
33.836,-84.2026,0.289718542,0.833228412,0.868494406,0.619383991,0.669350717
33.668,-84.2358,0.316251955,0.692647267,0.591415782,0.56554745,0.668740271
33.808,-84.4018,0.332098604,0.770285043,0.766781471,0.555753004,0.668558111
33.808,-84.2192,0.383455164,0.715112973,0.860623347,0.645660655,0.667713888
34.046,-84.1196,0.149819898,0.502771908,0.780109152,0.724546997,0.666997837
33.78,-84.3354,0.20090629,0.55510643,0.723978986,0.62420713,0.666938477
33.85,-84.269,0.113160901,0.511722789,0.790423223,0.59176372,0.666938477
34.06,-84.2856,0.17995034,0.66946665,0.869196217,0.564165346,0.666583313
33.962,-84.3354,0.185885665,0.569082179,0.727495115,0.640062667,0.665878054
33.654,-84.3188,0.148561132,0.554394017,0.787770267,0.561028841,0.665819585
