origin_place_id,destination_place_id,duration_text,duration_value,distance_text,distance_value
ChIJ9wg-Lp0K9YgR3UjyvXkv2Zc,ChIJyRb7_u-n9YgRaFRK94xpvAo,NA,NA,NA,NA
ChIJaSd81aIK9YgRUPKCIA3c-Z4,ChIJyRb7_u-n9YgRaFRK94xpvAo,NA,NA,NA,NA
ChIJDQvdMZoK9YgRJR2_0n-ndPo,ChIJyRb7_u-n9YgRaFRK94xpvAo,NA,NA,NA,NA
ChIJl5kh4JkK9YgRIJqvMzE8tdA,ChIJyRb7_u-n9YgRaFRK94xpvAo,NA,NA,NA,NA
ChIJM-NpkKQK9YgRitxPRigE7J8,ChIJyRb7_u-n9YgRaFRK94xpvAo,NA,NA,NA,NA
ChIJq4rR_aIK9YgR7ZOonDyX1fE,ChIJyRb7_u-n9YgRaFRK94xpvAo,NA,NA,NA,NA
ChIJF3h_2Aef9YgRjdBZ-3VdMRI,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 20 mins,8376,33.4 mi,53823
ChIJfcG7ewyf9YgRWLlGv8dgGhQ,ChIJyRb7_u-n9YgRaFRK94xpvAo,NA,NA,NA,NA
ChIJj8l0hVef9YgRFtYLUehRjls,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 8 mins,7663,20.2 mi,32452
ChIJsU6yStCY9YgRglIiWB7wqFI,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 2 mins,7333,22.3 mi,35861
ChIJ90P-WT8H9YgRsybiTyvFDbE,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 1 min,3683,8.8 mi,14116
ChIJaSVEYDwH9YgRDTCZj0SY0Es,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 5 mins,3918,11.5 mi,18435
ChIJaz-L8EAH9YgRKa93kzN4DEA,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 1 min,3682,10.6 mi,17047
ChIJbYcgZl4H9YgRp1yW-gPbt88,ChIJyRb7_u-n9YgRaFRK94xpvAo,57 mins,3402,10.3 mi,16514
ChIJC7SajiwH9YgR28YZid8i96U,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 26 mins,5172,10.9 mi,17605
ChIJex7Z0lwH9YgRIOb4yKt-6mg,ChIJyRb7_u-n9YgRaFRK94xpvAo,57 mins,3421,10.3 mi,16504
ChIJG8CqkHIH9YgRQVNiKQP_6Bg,ChIJyRb7_u-n9YgRaFRK94xpvAo,56 mins,3361,9.4 mi,15061
ChIJIckZFRYH9YgRag7I20JEdB4,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 12 mins,4339,11.0 mi,17716
ChIJKWUK5T4H9YgRT4lBNtHWsmI,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 1 min,3685,11.3 mi,18150
ChIJL3ZaEhAH9YgRDqzD_R30RcU,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 9 mins,4138,10.2 mi,16456
ChIJM7MKJiQH9YgRJsNBMBAdXJ4,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 13 mins,4388,12.8 mi,20668
ChIJPyqrZHwH9YgRMXW7VWl0aL0,ChIJyRb7_u-n9YgRaFRK94xpvAo,50 mins,3004,8.8 mi,14154
ChIJqcnaWiMH9YgRF8KU9N5rTsM,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 10 mins,4173,11.7 mi,18784
ChIJU7sSQT0H9YgRX1ZdbHHEr2o,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 5 mins,3928,11.5 mi,18457
ChIJUy3mYWYH9YgRhCY91RbAGUU,ChIJyRb7_u-n9YgRaFRK94xpvAo,50 mins,2982,9.7 mi,15662
ChIJx0uVjRoH9YgRDT2q_bhZIQM,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 7 mins,4011,15.9 mi,25536
ChIJx2ue4mQH9YgRoVRZKa48-Tw,ChIJyRb7_u-n9YgRaFRK94xpvAo,55 mins,3322,9.5 mi,15246
ChIJy4_bVXIH9YgRgUhCVS2N2PM,ChIJyRb7_u-n9YgRaFRK94xpvAo,54 mins,3222,9.3 mi,14895
ChIJ4yH9sIQA9YgRjYxitSZ5DTg,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 24 mins,5066,13.3 mi,21363
ChIJ6-VLQ5qp9YgRqLd_dXWUUoU,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 12 mins,4349,8.2 mi,13159
